X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
Mb,3,3,14,4,2,22.5,5.7,15,121,1,3.6,4.1,4.3,12,,0.752,14.67,7.926,4.921,7.779
Mb,3,3,15,4,3,72,11.2,35,842,2,8,14.1,16.5,38.6,0.625,0.781,17.48,6.071,6.761,6.206
Mb,3,3,16,4,4,91,12.86,34,354,6,4.9,19.9,15.1,39.9,0.120689655,1.312,20.92,6.041,5.689,15.72
Mb,3,4,1,1,1,56,9.24,21,317,4,5,11,11.2,27.2,0.108108108,0.75,17.6,7.851,6.027,0.674
Mb,3,4,2,1,2,54,8.82,30,487,2,6,9.7,10.7,26.4,-0.609756098,0.803,19.35,4.47,9.444,0.343
Mb,3,4,3,1,3,50,11.84,45,440,3,6.5,16.3,14.6,37.4,0.055555556,0.702,16.11,6.503,3.34,8.8
Mb,3,4,4,1,4,49,10.66,17,434,2,5,10.6,8.9,24.5,-0.05,0.829,19.19,6.986,8.254,7.277
Mb,3,4,5,2,1,55.5,11,31,265,2,5.7,13.4,14.2,33.3,0.275862069,,,,,
Mb,3,4,6,2,2,72,15.94,54,937,4,8.6,28,29.7,66.3,0.181818182,0.894,17.36,4.888,5.122,6.706
Mb,3,4,7,2,3,46,9.57,18,238,2,4.3,11.8,11.3,27.4,-0.058823529,0.627,20.4,10.86,6.464,3.288
Mb,3,4,8,2,4,45,7.74,29,288,3,4.5,5.8,7.2,17.5,0.192307692,0.896,15.72,4.905,6.498,7.09
Mb,3,4,9,3,1,49,9.08,19,202,1,4.3,8.8,9.7,22.8,0.444444444,0.667,20.2,3.681,11.45,0.519
Mb,3,4,10,3,2,51,12.03,41,217,6,4.5,13.5,11.6,29.6,0.205882353,0.813,14.98,5.37,7.774,8.104
Mb,3,4,11,3,3,64,10.27,19,332,1,4.8,11.1,8.5,24.4,1,0.58,14.97,5.361,6.611,7.008
Mb,3,4,12,3,4,50,9.43,23,247,2,4.3,11.1,10.5,25.9,1,0.748,18.4,7.436,7.448,6.985
Mb,3,4,13,4,1,51,8.71,21,354,3,4.8,6.2,7.2,18.2,1,1.122,17.84,6.073,13.19,1.429
Mb,3,4,14,4,2,53,10.38,19,205,1,4,12.2,10.9,27.1,0.25,0.807,20.43,7.286,7.41,4.228
Mb,3,4,15,4,3,50,12.19,40,438,4,6.2,13.4,13.7,33.3,1,1.179,19.13,5.087,9.051,7.081
Mb,3,4,16,4,4,44,10.4,24,355,2,5.4,12.7,12.6,30.7,0.53125,0.767,18.25,8.057,7.771,5.562
